type;kanji;hiragana;romanji
universal;一つ;ひとつ;hitotsu
universal;二つ;ふたつ;futatsu
universal;三つ;みっつ;mittsu
universal;よつ;よっつ;yottsu
universal;五つ;いつつ;itsutsu
universal;六つ;むっつ;muttsu
universal;七つ;ななつ;nanatsu
universal;八つ;やっつ;yattsu
universal;九つ;ここのつ;kokonotsu
universal;十つ;とおつ;tou
people;一人;ひとり;hitori
people;二人;ふたり;hutari
people;三人;さんにん;sannin
people;四人;よにん;yonnin
people;五人;ごにん;gonin
people;六人;ろくにん;rokunin
people;七人;しちにん;shichini
people;八人;はちにん;hachinin
people;九人;きゅうにん;kyuunin
people;十人;じゅうにん;juunin
age;一歳;いっさい;issai
age;二歳;にさい;nisai
age;三歳;さんさい;sansai
age;四歳;よんさい;yonsai
age;五歳;ごさい;gosai
age;六歳;ろくさい;rokusai
age;七歳;ななさい;nanasai
age;八歳;はっさい;hassai
age;九歳;きゅうさい;kyuusai
age;十歳;じゅっさい;jussai
small_objects;二個;にこ;niko
small_objects;三個;さんこ;sanko
small_objects;四個;よんこ;yonko
small_objects;五個;ごこ;goko
small_objects;六個;ろっこ;rokko
small_objects;七個;ななこ;nanako
small_objects;八個;はっこ;hakko
small_objects;九個;きゅうこ;kyuuko
small_objects;十個;じゅっこ;jukko
books;一冊;いっさつ;issatsu
books;二冊;にさつ;nisatsu
books;三冊;さんさつ;sansatsu
books;四冊;よんさつ;yonsatsu
books;五冊;ごさつ;gosatsu
books;六冊;ろくさつ;rokusatsu
books;七冊;ななさつ;nanasatsu
books;八冊;はっさつ;hassatsu
books;九冊;きゅうさつ;kyūsatsu
books;十冊;じゅっさつ;jussatsu
minutes;一分;いっぷん;ippun
minutes;二分;にふん;nihun
minutes;三分;さんぷん;sanpun
minutes;四分;よんぷん;yonpun
minutes;五分;ごふん;gohun
minutes;六分;ろっぷん;roppun
minutes;七分;ななふん;nanahun
minutes;八分;はっぷん;happun
minutes;九分;きゅうふん;kyuuhun
minutes;十分;じっぷん;juppun
floor;一階;いっかい;ikkai
floor;二階;にかい;nikai
birds;一羽;いちわ;ichiwa
birds;二羽;にわ;niwa
birds;三羽;さんわ;sanwa
birds;四羽;しわ;yonwa
birds;五羽;ごわ;gowa
birds;六羽;ろくわ;rokuwa
birds;七羽;しちわ;nanawa
birds;八羽;はちわ;hachiwa
birds;九羽;きゅうわ;kyuuwa
birds;十羽;じゅうわ;juuwa
flat objects;一枚;いちまい;ichimai
flat objects;二枚;にまい;nimai
flat objects;三枚;さんまい;sanmai
flat objects;四枚;よんまい;yonmai
flat objects;五枚;ごまい;gomai
flat objects;六枚;ろくまい;rokumai
flat objects;七枚;ななまい;nanamai
flat objects;八枚;はちまい;hachimai
flat objects;九枚;きゅうまい;kyuumai
flat objects;十枚;じゅうまい;juumai
days;一日;ついたち;Tsuitachi
days;二日;ふつか;Futsuka
days;三日;みっか;Mikka
days;四日;よっか;Yokka
days;五日;いつか;Itsuka
days;六日;むいか;Muika
days;七日;なのか;Nanoka
days;八日;ようか;Youka
days;九日;ここのか;Kokonoka
days;十日;とおか;Tooka
days;十一日;じゅういちにち;Juuichinichi
days;十二日;じゅうににち;Juuninichi
days;十三日;じゅうさんにち;Juusannichi
days;十四日;じゅうよっか;Juu Yokka
days;十五日;じゅうごにち;Juugonichi
days;十六日;じゅうろくにち;Juurokunichi
days;十七日;じゅうしちにち;Juushichinichi
days;十八日;じゅうはちにち;Juu Hachinichi
days;十九日;じゅうくにち;Juukunichi
days;二十日;はつか;Hatsuka
days;二十一日;にじゅういちにち;Nijuuichinichi
days;二十二日;にじゅうににち;Nijuuninichi
days;二十三日;にじゅうさんにち;Nijuusannichi
days;二十四日;にじゅうよっか;Nijuuyokka
days;二十五日;にじゅうごにち;Nijuugonichi
days;二十六日;にじゅうろくにち;Nijuurokunichi
days;二十七日;にじゅうしちにち;Nijuushichinichi
days;二十八日;にじゅうはちにち;Nijuuhachinichi
days;二十九日;にじゅうくにち;Nijuukunichi
days;三十日;さんじゅうにち;Sanjuunichi
days;三十一日;さんじゅういちにち;Sanjuuichinichi
hundreds;百;ひゃく;hyaku
hundreds;二百;にひゃく;nihyaku
hundreds;三百;さんびゃく;sanbyaku
hundreds;四百;よんひゃく;yonhyaku
hundreds;五百;ごひゃく;gohyaku
hundreds;六百;ろっぴゃく;roppyaku
hundreds;七百;ななひゃく;nanahyaku
hundreds;八百;はっぴゃく;happyaku
hundreds;九百;きゅうひゃく;kyuhyaku
